report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2018-12-31T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,34330,84979,104762,45172,170168,2018-12-31,-50649,59590
2019-01-08T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,19287,85289,116348,39134,167005,2019-01-08,-66002,77214
2019-01-15T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,17006,76530,105916,40853,155691,2019-01-15,-59524,65063
2019-01-22T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,16727,72823,102840,40096,151010,2019-01-22,-56096,62744
2019-01-29T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,16523,72913,104343,40248,151146,2019-01-29,-56390,64095
2019-02-05T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,19808,61845,91960,44384,141538,2019-02-05,-42037,47576
2019-02-12T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,21433,58970,92005,48601,141172,2019-02-12,-37537,43404
2019-02-19T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,22989,59426,90735,48953,142620,2019-02-19,-36437,41782
2019-02-26T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,21553,60730,98049,53588,147621,2019-02-26,-39177,44461
2019-03-05T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,18210,58654,98021,49449,146552,2019-03-05,-40444,48572
2019-03-12T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,20276,61329,100572,48039,159939,2019-03-12,-41053,52533
2019-03-19T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,16267,64041,112933,50942,167282,2019-03-19,-47774,61991
2019-03-26T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,21194,60765,93842,44583,144311,2019-03-26,-39571,49259
2019-04-02T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,24619,68942,96434,45321,151140,2019-04-02,-44323,51113
2019-04-09T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,24681,67883,93053,45966,149544,2019-04-09,-43202,47087
2019-04-16T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,18256,67418,97019,41698,145041,2019-04-16,-49162,55321
2019-04-23T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,23222,70715,99165,43362,152998,2019-04-23,-47493,55803
2019-04-30T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,19445,66190,103426,47365,154565,2019-04-30,-46745,56061
2019-05-07T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,20117,66232,98696,45798,151258,2019-05-07,-46115,52898
2019-05-14T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,18457,66045,98370,44964,148058,2019-05-14,-47588,53406
2019-05-21T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,16282,58518,88138,43023,140682,2019-05-21,-42236,45115
2019-05-28T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,15878,55301,89942,45632,140449,2019-05-28,-39423,44310
2019-06-04T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,15330,57089,99023,55664,151970,2019-06-04,-41759,43359
2019-06-11T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,25597,58437,96453,69782,159212,2019-06-11,-32840,26671
2019-06-18T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,19796,57867,70537,67737,160795,2019-06-18,-38071,2800
