report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2022-02-01T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,698,8937,30161,13620,41054,2022-02-01,-8239,16541
2022-02-08T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,1234,10633,30215,13297,41481,2022-02-08,-9399,16918
2022-02-15T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,3652,13367,33069,14181,45522,2022-02-15,-9715,18888
2022-02-22T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,3785,14772,33718,14608,47339,2022-02-22,-10987,19110
2022-03-01T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,1651,16899,35045,14183,47273,2022-03-01,-15248,20862
2022-03-08T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,4856,14566,36635,14693,51820,2022-03-08,-9710,21942
2022-03-15T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,5808,11037,28761,11301,43356,2022-03-15,-5229,17460
2022-03-22T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,6012,14436,30663,10164,44911,2022-03-22,-8424,20499
2022-03-29T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,3292,14871,32430,9202,44327,2022-03-29,-11579,23228
2022-04-05T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,1860,14253,29392,8649,40005,2022-04-05,-12393,20743
2022-04-12T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,1642,15584,30798,8499,41231,2022-04-12,-13942,22299
2022-04-19T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2900,14350,31735,8684,44269,2022-04-19,-11450,23051
2022-04-26T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,4455,17324,33085,7372,47297,2022-04-26,-12869,25713
2022-05-03T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,4357,18264,37429,6887,49385,2022-05-03,-13907,30542
2022-05-10T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,4727,20490,38258,8439,51282,2022-05-10,-15763,29819
2022-05-17T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,5240,21832,39722,8541,53291,2022-05-17,-16592,31181
2022-05-24T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,1355,21028,39913,8219,49918,2022-05-24,-19673,31694
2022-05-31T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2641,23099,37473,7622,49579,2022-05-31,-20458,29851
2022-06-07T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2609,18741,34494,7278,49794,2022-06-07,-16132,27216
2022-06-14T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,4291,11099,26045,7898,39362,2022-06-14,-6808,18147
2022-06-21T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,3068,10225,24927,9969,37669,2022-06-21,-7157,14958
2022-06-28T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,4523,13114,25994,8132,40123,2022-06-28,-8591,17862
2022-07-05T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,3218,13353,26664,6589,38504,2022-07-05,-10135,20075
2022-07-12T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,7017,15741,26217,6335,41255,2022-07-12,-8724,19882
2022-07-19T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,6948,17860,25008,5803,41855,2022-07-19,-10912,19205
2022-07-26T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,8138,19437,27195,6585,44081,2022-07-26,-11299,20610
2022-08-02T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,8170,21478,29075,5796,45874,2022-08-02,-13308,23279
2022-08-09T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,8635,18417,25084,5620,43202,2022-08-09,-9782,19464
2022-08-16T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,7773,12869,21767,8151,39407,2022-08-16,-5096,13616
2022-08-23T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,9541,11946,23858,9079,42471,2022-08-23,-2405,14779
2022-08-30T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,11915,14177,27113,11642,47168,2022-08-30,-2262,15471
2022-09-06T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,10882,14919,26584,9717,48226,2022-09-06,-4037,16867
2022-09-13T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,7704,15009,26988,10476,44853,2022-09-13,-7305,16512
2022-09-20T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,8167,14907,22309,9323,40937,2022-09-20,-6740,12986
2022-09-27T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,7681,13411,28196,11298,44492,2022-09-27,-5730,16898
2022-10-04T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,7816,14668,26140,10118,43121,2022-10-04,-6852,16022
2022-10-11T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,5501,11391,29436,11453,43748,2022-10-11,-5890,17983
