report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2015-02-17T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,31269,80360,152950,60096,203555,2015-02-17,-49091,92854
2015-02-24T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,31611,79123,149980,62607,202438,2015-02-24,-47512,87373
2015-03-03T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,33944,86465,158423,64993,210611,2015-03-03,-52521,93430
2015-03-10T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,32898,92285,169840,59731,235089,2015-03-10,-59387,110109
2015-03-17T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,44496,92550,138442,40731,195913,2015-03-17,-48054,97711
2015-03-24T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,39156,85061,126021,40043,181026,2015-03-24,-45905,85978
2015-03-31T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,44409,68333,116378,53965,177478,2015-03-31,-23924,62413
2015-04-07T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,53320,77769,118118,54475,189444,2015-04-07,-24449,63643
2015-04-14T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,54783,77853,121029,64194,195230,2015-04-14,-23070,56835
2015-04-21T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,51520,65968,120368,70330,189332,2015-04-21,-14448,50038
2015-04-28T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,48721,54214,118521,85966,188079,2015-04-28,-5493,32555
2015-05-05T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,41852,73035,139448,72449,198886,2015-05-05,-31183,66999
2015-05-12T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,37848,61441,137626,78612,193296,2015-05-12,-23593,59014
