report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2013-11-26T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,16064,5815,1352,12825,20919,2013-11-26,10249,-11473
2013-12-03T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,13660,6021,1069,9785,18318,2013-12-03,7639,-8716
2013-12-10T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,13183,4630,1803,12497,19953,2013-12-10,8553,-10694
2013-12-17T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,12842,7169,871,8217,17939,2013-12-17,5673,-7346
2013-12-24T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,13899,7443,880,9060,18668,2013-12-24,6456,-8180
2013-12-31T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,14198,7491,693,9170,18748,2013-12-31,6707,-8477
2014-01-07T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,14803,6937,922,10754,20039,2014-01-07,7866,-9832
2014-01-14T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,17539,7925,1117,12629,22870,2014-01-14,9614,-11512
2014-01-21T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,17330,8774,1258,11346,22817,2014-01-21,8556,-10088
2014-01-28T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,16606,6921,947,11872,21796,2014-01-28,9685,-10925
2014-02-04T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,14588,6556,1732,10020,20098,2014-02-04,8032,-8288
2014-02-11T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,13176,5535,2021,10674,19085,2014-02-11,7641,-8653
2014-02-18T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,15331,6425,1872,12362,21516,2014-02-18,8906,-10490
2014-02-25T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,16529,5547,1367,13877,22142,2014-02-25,10982,-12510
2014-03-04T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,19346,5914,1291,16808,25616,2014-03-04,13432,-15517
2014-03-11T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,21155,6706,1586,17882,31905,2014-03-11,14449,-16296
2014-03-18T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,24645,8894,1243,19745,31463,2014-03-18,15751,-18502
2014-03-25T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,26243,8030,1234,22092,32748,2014-03-25,18213,-20858
2014-04-01T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,25765,7285,1439,22307,32313,2014-04-01,18480,-20868
2014-04-08T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,26521,6755,1477,23279,32898,2014-04-08,19766,-21802
2014-04-15T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,26671,6824,1477,23326,33100,2014-04-15,19847,-21849
2014-04-22T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,26056,5881,1532,24018,32579,2014-04-22,20175,-22486
2014-04-29T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,22979,4499,1791,22364,29858,2014-04-29,18480,-20573
2014-05-06T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,25027,4334,2686,24207,33025,2014-05-06,20693,-21521
2014-05-13T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,23806,4466,2439,23434,30932,2014-05-13,19340,-20995
2014-05-20T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,22486,4892,3565,23040,30556,2014-05-20,17594,-19475
