report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2013-12-10T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,91669,75739,152652,149951,302100,2013-12-10,15930,2701
2013-12-17T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,97780,69857,83222,97675,230955,2013-12-17,27923,-14453
2013-12-24T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,102462,70290,87272,106981,240206,2013-12-24,32172,-19709
2013-12-31T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,101916,71327,88251,108680,242071,2013-12-31,30589,-20429
2014-01-07T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,88119,73621,105422,99143,238570,2014-01-07,14498,6279
2014-01-14T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,87059,77813,107883,98891,243434,2014-01-14,9246,8992
2014-01-21T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,79321,83093,131073,96012,255300,2014-01-21,-3772,35061
2014-01-28T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,86963,72616,126816,118340,260799,2014-01-28,14347,8476
2014-02-04T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,67614,81224,160736,119781,274146,2014-02-04,-13610,40955
2014-02-11T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,75048,81977,157239,131888,281037,2014-02-11,-6929,25351
2014-02-18T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,88634,80035,149375,142788,291360,2014-02-18,8599,6587
2014-02-25T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,93003,79103,149693,149405,296924,2014-02-25,13900,288
2014-03-04T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,103868,80416,144494,155241,304308,2014-03-04,23452,-10747
2014-03-11T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,110103,73718,148565,170697,322020,2014-03-11,36385,-22132
2014-03-18T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,117819,64828,91888,130331,264443,2014-03-18,52991,-38443
2014-03-25T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,106914,67280,103755,126788,262179,2014-03-25,39634,-23033
2014-04-01T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,101849,68611,111333,125794,260075,2014-04-01,33238,-14461
2014-04-08T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,92635,69335,120001,125354,261439,2014-04-08,23300,-5353
2014-04-15T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,106252,78564,116428,125819,270722,2014-04-15,27688,-9391
2014-04-22T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,101204,75430,116984,123395,266259,2014-04-22,25774,-6411
2014-04-29T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,102285,76551,118635,124082,271515,2014-04-29,25734,-5447
2014-05-06T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,110673,78122,108249,123865,277013,2014-05-06,32551,-15616
2014-05-13T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,84383,86558,131899,112028,268142,2014-05-13,-2175,19871
2014-05-20T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,75013,84233,145672,114357,268199,2014-05-20,-9220,31315
2014-05-27T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,70753,87386,157716,116315,274051,2014-05-27,-16633,41401
2014-06-03T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,57109,90134,177505,116655,280747,2014-06-03,-33025,60850
2014-06-10T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,43739,100924,224523,136545,331636,2014-06-10,-57185,87978
2014-06-17T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,51405,113240,196143,103622,285489,2014-06-17,-61835,92521
2014-06-24T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,55062,112565,197697,107032,291244,2014-06-24,-57503,90665
2014-07-01T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,52665,113441,196567,105198,291488,2014-07-01,-60776,91369
2014-07-08T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,51595,110860,204115,107205,294381,2014-07-08,-59265,96910
2014-07-15T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,59506,122352,212426,109017,310661,2014-07-15,-62846,103409
2014-07-22T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,58142,146965,239961,108966,339706,2014-07-22,-88823,130995
2014-07-29T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,56562,164637,259960,104377,356865,2014-07-29,-108075,155583
2014-08-05T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,55179,183926,283373,104329,379004,2014-08-05,-128747,179044
2014-08-12T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,51596,177613,282707,107353,376424,2014-08-12,-126017,175354
2014-08-19T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,56774,195599,299068,109422,396460,2014-08-19,-138825,189646
2014-08-26T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,53989,204646,306073,109975,402709,2014-08-26,-150657,196098
2014-09-02T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,59398,220821,317713,108749,419850,2014-09-02,-161423,208964
2014-09-09T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,59376,216881,342823,133916,484306,2014-09-09,-157505,208907
2014-09-16T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,79552,216701,283275,94029,397652,2014-09-16,-137149,189246
2014-09-23T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,60654,202619,297160,106324,398937,2014-09-23,-141965,190836
2014-09-30T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,67030,204555,302134,114913,409986,2014-09-30,-137525,187221
2014-10-07T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,61467,207679,324023,124709,425656,2014-10-07,-146212,199314
2014-10-14T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,60158,215500,337436,132670,434873,2014-10-14,-155342,204766
2014-10-21T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,60188,219559,340562,132521,439863,2014-10-21,-159371,208041
2014-10-28T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,59054,224761,343150,130765,441369,2014-10-28,-165707,212385
2014-11-04T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,59566,238587,367033,129740,465332,2014-11-04,-179021,237293
2014-11-11T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,60454,224347,365507,142559,463976,2014-11-11,-163893,222948
2014-11-18T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,58048,226778,365846,141782,465168,2014-11-18,-168730,224064
2014-11-25T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,57982,223062,366561,144526,465339,2014-11-25,-165080,222035
2014-12-02T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,57272,216551,358219,143333,462058,2014-12-02,-159279,214886
2014-12-09T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,58306,195218,367178,174825,477861,2014-12-09,-136912,192353
2014-12-16T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,56179,182834,268612,95144,368171,2014-12-16,-126655,173468
2014-12-23T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,40690,187294,295843,99595,376849,2014-12-23,-146604,196248
2014-12-30T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,43202,195421,302896,101172,386295,2014-12-30,-152219,201724
2015-01-06T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,46016,207056,322212,105617,406624,2015-01-06,-161040,216595
2015-01-13T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,50858,218709,331934,106709,422426,2015-01-13,-167851,225225
2015-01-20T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,52047,232777,350433,114236,450262,2015-01-20,-180730,236197
2015-01-27T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,50489,235234,355311,111048,449726,2015-01-27,-184745,244263
2015-02-03T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,47719,244028,366203,113239,457209,2015-02-03,-196309,252964
2015-02-10T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,47217,241858,355674,110223,444139,2015-02-10,-194641,245451
2015-02-17T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,47175,232757,349201,111559,438411,2015-02-17,-185582,237642
2015-02-24T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,45511,223247,343315,116354,431217,2015-02-24,-177736,226961
2015-03-03T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,48467,220856,347041,122394,440733,2015-03-03,-172389,224647
2015-03-10T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,61271,242344,369650,136170,496465,2015-03-10,-181073,233480
2015-03-17T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,56329,250103,348754,101065,449508,2015-03-17,-193774,247689
2015-03-24T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,50148,271111,366788,94933,460950,2015-03-24,-220963,271855
2015-03-31T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,41709,268269,372420,97951,459746,2015-03-31,-226560,274469
2015-04-07T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,39444,254702,356228,96223,441624,2015-04-07,-215258,260005
2015-04-14T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,45264,257611,358360,101060,453518,2015-04-14,-212347,257300
2015-04-21T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,46821,261466,361058,102833,457610,2015-04-21,-214645,258225
2015-04-28T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,50734,248500,356986,116294,456919,2015-04-28,-197766,240692
2015-05-05T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,50116,240243,343981,116070,449254,2015-05-05,-190127,227911
2015-05-12T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,43333,222309,345101,127933,439122,2015-05-12,-178976,217168
2015-05-19T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,38758,207097,338273,129839,428580,2015-05-19,-168339,208434
2015-05-26T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,44221,215961,336026,127583,431927,2015-05-26,-171740,208443
2015-06-02T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,49471,214983,326452,119316,428403,2015-06-02,-165512,207136
