date,IBIT,total_dv
2024-07-01,666356400.0,1364337180.0819397
2024-07-02,485056900.8117676,991147389.2450676
2024-07-03,440601234.4310761,810108847.1149063
2024-07-05,1513989295.872116,2826457719.791031
2024-07-08,932611051.5750884,1984029046.043518
2024-07-09,590791503.5896301,1187817473.3638306
2024-07-10,563518264.4165039,1237327828.7569046
2024-07-11,717836956.7481995,1291680597.6660767
2024-07-12,555854824.180603,1140597709.4636688
2024-07-15,1237989337.2550964,2267496382.8490486
2024-07-16,1033716234.0774536,1780374991.0777664
2024-07-17,1204819048.9902496,1787760720.5142975
2024-07-18,823128503.7414551,1399463253.4472885
2024-07-19,1795434311.3441467,3212901130.0075684
2024-07-22,938843673.3596802,1636385065.0142365
2024-07-23,1324905353.414154,2311892609.8212814
2024-07-24,875740217.1478271,1481962849.6169739
2024-07-25,807637744.152832,1518792893.5505676
2024-07-26,1124646254.5440674,2051084670.9937706
2024-07-29,1463004563.8225555,2646627303.880146
2024-07-30,734327785.079956,1369021065.6553268
2024-07-31,763416946.2661743,1327700726.8815994
2024-08-01,1337046355.6877136,2668760377.4824142
2024-08-02,1271494242.793274,2230844780.657959
2024-08-05,2975853795.3071594,5218287758.802795
2024-08-06,1282727298.0522156,2175780855.0016403
2024-08-07,759523298.0051041,1723250551.7469406
2024-08-08,1114292907.1296692,2014926652.5745392
2024-08-09,652995391.2025452,1242471882.4813843
2024-08-12,700357875.2929688,1269341503.6514282
2024-08-13,699243027.6794434,1159695074.084282
2024-08-14,638730726.1371613,1261002121.863556
2024-08-15,946923250.0,1717821499.4895935
2024-08-16,772021567.3065186,1433435869.7555542
2024-08-19,453204309.601593,767813339.5483017
2024-08-20,735270232.30896,1323182846.1536407
2024-08-21,807775731.5601349,1408135980.8929443
2024-08-22,543592160.8528137,868626905.7607651
2024-08-23,1874707260.9222407,3113880462.312507
2024-08-26,703022375.9723663,1164067817.8020477
2024-08-27,689506688.8160706,1174115052.4528503
2024-08-28,1206968064.4828796,2113094135.8207703
2024-08-29,764510293.8365936,1576536950.2466202
2024-08-30,761913826.6124725,1499068569.0847397
2024-09-03,782605495.1374054,1534591550.2592087
2024-09-04,652602794.0834045,1394468464.9906158
2024-09-05,655326497.8488922,1288995578.8936615
2024-09-06,1231203581.8222046,2305402317.2956467
2024-09-09,797590545.8209991,1604147355.0813675
2024-09-10,417407100.0,689995280.2545547
2024-09-11,673403664.3363953,1248404836.0740662
2024-09-12,526480500.0,874824846.7702866
2024-09-13,1127575030.3268433,1800404392.5590515
2024-09-16,690310966.418457,1066518368.5567856
2024-09-17,1358881529.1938782,2217939771.241379
2024-09-18,985053379.0138243,1591739266.0625458
2024-09-19,907430351.7036438,1400592568.7459946
2024-09-20,570594707.8399658,918862618.9632416
2024-09-23,623304607.8338623,918964263.5541916
2024-09-24,724156611.9369507,1092554806.3266754
2024-09-25,487289203.5369873,768602492.468071
2024-09-26,1527279570.3258514,2371765350.341797
2024-09-27,1079991437.3703003,1820712757.3349
2024-09-30,843064670.9236145,1318291164.0480042
2024-10-01,1542927211.9121552,2466290741.8762207
2024-10-02,1005067313.269043,1591586093.0072784
2024-10-03,641712422.5616455,1115554524.4342804
2024-10-04,803664874.3572235,1166822099.3415833
2024-10-07,761735075.0095367,1188705476.563263
2024-10-08,892193318.4570312,1315616120.069313
2024-10-09,632701925.567627,928022870.098114
2024-10-10,882581194.8337555,1315587377.4993896
2024-10-11,1200374390.132904,2046201557.0272446
2024-10-14,1673859953.403473,2563918299.9809265
2024-10-15,2043583531.967163,2994692950.8377075
2024-10-16,1027288998.7564088,1526148171.180725
2024-10-17,747891760.0040436,1418104793.3172226
2024-10-18,1555786922.8477478,2182430595.06588
2024-10-21,1109790029.2190552,1711603691.4209366
2024-10-22,920799085.3420258,1366387162.2760773
2024-10-23,974409107.3913574,1523660878.5634995
2024-10-24,1050092456.1443328,1437085991.8346405
2024-10-25,1966850169.1467285,2792929753.6167145
2024-10-28,2168056640.92865,2936829129.2388916
2024-10-29,3371135328.352356,4669478400.1010895
2024-10-30,1308352170.1847076,1913328151.8276215
2024-10-31,1911023185.357666,2942302567.0303345
2024-11-01,1965751920.6687927,2978616855.353546
2024-11-04,1378870425.0,2133622482.0280075
2024-11-05,1448452342.4667358,2319659258.780098
2024-11-06,4215793688.220978,6081391364.722061
2024-11-07,1773220657.9421997,2687451339.432335
2024-11-08,1930385792.3229215,2753744986.0847473
2024-11-11,4774542714.605713,7270764068.699074
2024-11-12,3945904586.0286713,5603211670.272255
2024-11-13,5273417166.591644,7701679385.354614
2024-11-14,3022728616.1758423,4543419767.873383
2024-11-15,2446950972.136688,3523437120.6710815
2024-11-18,3181087351.178741,4627056612.552643
2024-11-19,4262586861.7095942,5537032840.3728485
2024-11-20,3768699825.6378174,5039805046.8149185
2024-11-21,5252229983.36792,7017340349.551773
2024-11-22,3729492506.813049,5322738197.808266
2024-11-25,3748809765.767288,5475647574.199867
